Environment,Algorithm,Seed,Current Step,Mean Reward,Standard Deviation Reward,Success Rate,Training Time,Mean Episode Length
CartPole-v1,A2C,7,1,39.2,11.338430226446693,0.0,0.0060040950775146484,39.2
CartPole-v1,A2C,7,2,48.0,10.89954127475097,0.0,0.009504318237304688,48.0
CartPole-v1,A2C,7,3,54.4,11.288932633336069,0.0,0.012502431869506836,54.4
CartPole-v1,A2C,7,4,70.6,32.84265519107735,0.0,0.01601433753967285,70.6
CartPole-v1,A2C,7,5,76.8,12.253978945632312,0.0,0.019014358520507812,76.8
CartPole-v1,A2C,7,6,57.8,7.8587530817554,0.0,0.021514177322387695,57.8
CartPole-v1,A2C,7,7,62.4,21.406541056415442,0.0,0.02501511573791504,62.4
CartPole-v1,A2C,7,8,50.2,16.71406593262094,0.0,0.028018712997436523,50.2
CartPole-v1,A2C,7,9,61.0,9.979979959899719,0.0,0.03102254867553711,61.0
CartPole-v1,A2C,7,10,53.0,2.449489742783178,0.0,0.03352212905883789,53.0
CartPole-v1,A2C,42,1,82.2,34.33598695246723,0.0,0.004498958587646484,82.2
CartPole-v1,A2C,42,2,53.4,8.357032966310472,0.0,0.007996082305908203,53.4
CartPole-v1,A2C,42,3,56.0,15.899685531481433,0.0,0.011495828628540039,56.0
CartPole-v1,A2C,42,4,69.8,8.158431221748456,0.0,0.015000104904174805,69.8
CartPole-v1,A2C,42,5,62.0,12.457929201917949,0.0,0.018006086349487305,62.0
CartPole-v1,A2C,42,6,57.6,9.28654941299512,0.0,0.020505666732788086,57.6
CartPole-v1,A2C,42,7,69.0,5.656854249492381,0.0,0.023505687713623047,69.0
CartPole-v1,A2C,42,8,67.6,11.99333148045196,0.0,0.02601170539855957,67.6
CartPole-v1,A2C,42,9,82.8,24.911041728518704,0.0,0.029511451721191406,82.8
CartPole-v1,A2C,42,10,62.4,19.22082204277434,0.0,0.03301835060119629,62.4
CartPole-v1,A2C,1337,1,79.8,21.68317319951118,0.0,0.0035037994384765625,79.8
CartPole-v1,A2C,1337,2,71.0,31.016124838541646,0.0,0.0065038204193115234,71.0
CartPole-v1,A2C,1337,3,38.2,5.418486873657627,0.0,0.010052919387817383,38.2
CartPole-v1,A2C,1337,4,40.6,5.276362383309167,0.0,0.014066457748413086,40.6
CartPole-v1,A2C,1337,5,41.4,8.957678270623477,0.0,0.017068862915039062,41.4
CartPole-v1,A2C,1337,6,46.8,21.784398086704165,0.0,0.021068811416625977,46.8
CartPole-v1,A2C,1337,7,47.4,20.626196934965982,0.0,0.023566722869873047,47.4
CartPole-v1,A2C,1337,8,40.0,10.411532067856296,0.0,0.027066707611083984,40.0
CartPole-v1,A2C,1337,9,50.8,10.703270528207721,0.0,0.02956676483154297,50.8
CartPole-v1,A2C,1337,10,38.0,6.324555320336759,0.0,0.0330657958984375,38.0
CartPole-v1,A2C,12345,1,9.4,0.48989794855663565,0.0,0.003004789352416992,9.4
CartPole-v1,A2C,12345,2,87.2,37.10741165858918,0.0,0.006005764007568359,87.2
CartPole-v1,A2C,12345,3,36.6,12.370933675353692,0.0,0.00850820541381836,36.6
CartPole-v1,A2C,12345,4,89.0,76.78541528180986,0.0,0.012009859085083008,89.0
CartPole-v1,A2C,12345,5,87.6,21.60185177247543,0.0,0.016007423400878906,87.6
CartPole-v1,A2C,12345,6,138.2,93.75158665324017,0.0,0.02001190185546875,138.2
CartPole-v1,A2C,12345,7,89.0,43.16480047446067,0.0,0.023015737533569336,89.0
